name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Bjurböle,5064,Valid,L/LL4,330000,Fell,01/01/1899 12:00:00 AM,60.400000,25.800000,"(60.400000, 25.800000)"
Black Moshannan Park,5065,Valid,L5,705,Fell,01/01/1941 12:00:00 AM,40.916670,-78.083330,"(40.916670, -78.083330)"
Blackwell,5068,Valid,L5,2381,Fell,01/01/1906 12:00:00 AM,36.833330,-97.333330,"(36.833330, -97.333330)"
Blanket,5071,Valid,L6,5100,Fell,01/01/1909 12:00:00 AM,31.833330,-98.833330,"(31.833330, -98.833330)"
Blansko,5072,Valid,H6,470,Fell,01/01/1833 12:00:00 AM,49.366670,16.633330,"(49.366670, 16.633330)"
Bloomington,5076,Valid,LL6,67.8,Fell,01/01/1938 12:00:00 AM,40.480000,-89.004170,"(40.480000, -89.004170)"
Bo Xian,5090,Valid,LL3.9,7500,Fell,01/01/1977 12:00:00 AM,33.833330,115.833330,"(33.833330, 115.833330)"
Bocas,5093,Valid,L6,56,Fell,01/01/1804 12:00:00 AM,23.000000,-102.000000,"(23.000000, -102.000000)"
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,01/01/1962 12:00:00 AM,12.500000,0.700000,"(12.500000, 0.700000)"
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,01/01/1916 12:00:00 AM,44.550000,131.633330,"(44.550000, 131.633330)"
Borgo San Donino,5110,Valid,LL6,1676,Fell,01/01/1808 12:00:00 AM,44.866670,10.050000,"(44.866670, 10.050000)"
Bori,5111,Valid,L6,8600,Fell,01/01/1894 12:00:00 AM,21.950000,78.033330,"(21.950000, 78.033330)"
Boriskino,5112,Valid,CM2,1342,Fell,01/01/1930 12:00:00 AM,54.233330,52.483330,"(54.233330, 52.483330)"
Borkut,5113,Valid,L5,7000,Fell,01/01/1852 12:00:00 AM,48.150000,24.283330,"(48.150000, 24.283330)"
Borodino,5114,Valid,H5,500,Fell,01/01/1812 12:00:00 AM,55.466670,35.866670,"(55.466670, 35.866670)"
Botschetschki,5117,Valid,L4,614,Fell,01/01/1823 12:00:00 AM,51.333330,33.883330,"(51.333330, 33.883330)"
Boumdeid (2003),57168,Valid,L6,190,Fell,01/01/2003 12:00:00 AM,17.710670,-11.371500,"(17.710670, -11.371500)"
Boumdeid (2011),57167,Valid,L6,3599,Fell,01/01/2011 12:00:00 AM,17.174930,-11.341330,"(17.174930, -11.341330)"
Bovedy,5121,Valid,L3,5460,Fell,01/01/1969 12:00:00 AM,54.566670,-6.333330,"(54.566670, -6.333330)"
Bradford Woods,5128,Valid,L,762,Fell,01/01/1886 12:00:00 AM,40.500000,-80.083330,"(40.500000, -80.083330)"
Braunau,5133,Valid,"Iron, IIAB",39000,Fell,01/01/1847 12:00:00 AM,50.600000,16.300000,"(50.600000, 16.300000)"
Breitscheid,5134,Valid,H5,1500,Fell,01/01/1956 12:00:00 AM,50.666940,8.183610,"(50.666940, 8.183610)"
Bremervörde,5135,Valid,H/L3.9,7250,Fell,01/01/1855 12:00:00 AM,53.400000,9.100000,"(53.400000, 9.100000)"
Brient,5140,Valid,Eucrite-pmict,219,Fell,01/01/1933 12:00:00 AM,52.133330,59.316670,"(52.133330, 59.316670)"
Bruderheim,5156,Valid,L6,303000,Fell,01/01/1960 12:00:00 AM,53.900000,-112.883330,"(53.900000, -112.883330)"
Bukhara,30448,Valid,CV3,5300,Fell,01/01/2001 12:00:00 AM,39.779780,64.600350,"(39.779780, 64.600350)"
Bulls Run,5163,Valid,Iron?,2250,Fell,01/01/1964 12:00:00 AM,,,
Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,01/01/2007 12:00:00 AM,-31.350000,129.190000,"(-31.350000, 129.190000)"
Bununu,5165,Valid,Howardite,357,Fell,01/01/1942 12:00:00 AM,10.016670,9.583330,"(10.016670, 9.583330)"
Bur-Gheluai,5169,Valid,H5,120000,Fell,01/01/1919 12:00:00 AM,5.000000,48.000000,"(5.000000, 48.000000)"
Burnwell,5175,Valid,H4-an,1504,Fell,01/01/1990 12:00:00 AM,37.621940,-82.237220,"(37.621940, -82.237220)"
Bursa,5177,Valid,L6,25000,Fell,01/01/1946 12:00:00 AM,40.200000,29.233330,"(40.200000, 29.233330)"
Buschhof,5178,Valid,L6,5000,Fell,01/01/1863 12:00:00 AM,46.450000,25.783330,"(46.450000, 25.783330)"
Bustee,5181,Valid,Aubrite,1500,Fell,01/01/1852 12:00:00 AM,26.783330,82.833330,"(26.783330, 82.833330)"
Butsura,5183,Valid,H6,29000,Fell,01/01/1861 12:00:00 AM,27.083330,84.083330,"(27.083330, 84.083330)"
Buzzard Coulee,48654,Valid,H4,41000,Fell,01/01/2008 12:00:00 AM,52.996000,-109.848170,"(52.996000, -109.848170)"
Cabezo de Mayo,5185,Valid,L/LL6,25000,Fell,01/01/1870 12:00:00 AM,37.983330,-1.166670,"(37.983330, -1.166670)"
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,Fell,01/01/1886 12:00:00 AM,35.500000,-93.500000,"(35.500000, -93.500000)"
Cacak,5187,Valid,OC,212,Fell,01/01/1919 12:00:00 AM,43.838890,20.333330,"(43.838890, 20.333330)"
Cali,45976,Valid,H/L4,478,Fell,01/01/2007 12:00:00 AM,3.405000,-76.510000,"(3.405000, -76.510000)"
Calivo,5200,Valid,Stone-uncl,2400,Fell,01/01/1916 12:00:00 AM,11.750000,122.333330,"(11.750000, 122.333330)"
Campos Sales,5249,Valid,L5,23680,Fell,01/01/1991 12:00:00 AM,-7.033330,-40.166670,"(-7.033330, -40.166670)"
Çanakkale,5250,Valid,L6,4000,Fell,01/01/1964 12:00:00 AM,39.800000,26.600000,"(39.800000, 26.600000)"
Cañellas,5251,Valid,H4,945,Fell,01/01/1861 12:00:00 AM,41.250000,1.666670,"(41.250000, 1.666670)"
Cangas de Onis,5252,Valid,H5,34000,Fell,01/01/1866 12:00:00 AM,43.383330,-5.150000,"(43.383330, -5.150000)"
Canon City,5253,Valid,H6,1400,Fell,01/01/1973 12:00:00 AM,M,M,"(38.470280, -105.241390)"
Cape Girardeau,5260,Valid,H6,2300,Fell,01/01/1846 12:00:00 AM,37.266670,-89.583330,"(37.266670, -89.583330)"
Capilla del Monte,5264,Valid,H6,750,Fell,01/01/1934 12:00:00 AM,-30.883330,-64.550000,"(-30.883330, -64.550000)"
Carancas,45817,Valid,H4-5,342,Fell,01/01/2007 12:00:00 AM,-16.664440,-69.043890,"(-16.664440, -69.043890)"
Caratash,5265,Valid,LL6,8,Fell,01/01/1902 12:00:00 AM,38.500000,27.000000,"(38.500000, 27.000000)"
Castalia,5291,Valid,H5,7300,Fell,01/01/1874 12:00:00 AM,36.083330,-78.066670,"(36.083330, -78.066670)"
Castel Berardenga,5292,Valid,Stone-uncl,,Fell,01/01/1791 12:00:00 AM,43.350000,11.500000,"(43.350000, 11.500000)"
Castine,5293,Valid,L6,94,Fell,01/01/1848 12:00:00 AM,44.383330,-68.750000,"(44.383330, -68.750000)"
Castrovillari,5295,Valid,Stone-uncl,15000,Fell,01/01/1583 12:00:00 AM,39.800000,16.200000,"(39.800000, 16.200000)"
Caswell County,5296,Valid,OC,1360,Fell,01/01/1810 12:00:00 AM,36.500000,-79.250000,"(36.500000, -79.250000)"
Ceniceros,5306,Valid,L3.7,1025,Fell,01/01/1988 12:00:00 AM,26.466670,-105.233330,"(26.466670, -105.233330)"
Centerville,5307,Valid,H5,45.6,Fell,01/01/1956 12:00:00 AM,43.200000,-96.916670,"(43.200000, -96.916670)"
Cereseto,5308,Valid,H5,6460,Fell,01/01/1840 12:00:00 AM,45.083330,8.300000,"(45.083330, 8.300000)"
Chadong,5313,Valid,L6,3700,Fell,01/01/1998 12:00:00 AM,28.533330,109.316670,"(28.533330, 109.316670)"
Chail,5314,Valid,H6,0.5,Fell,01/01/1814 12:00:00 AM,25.366670,81.666670,"(25.366670, 81.666670)"
Chainpur,5315,Valid,LL3.4,8200,Fell,01/01/1907 12:00:00 AM,25.850000,83.483330,"(25.850000, 83.483330)"
Chajari,5316,Valid,L5,18300,Fell,01/01/1933 12:00:00 AM,-30.783330,-58.050000,"(-30.783330, -58.050000)"
Chandakapur,5320,Valid,L5,8800,Fell,01/01/1838 12:00:00 AM,20.266670,76.016670,"(20.266670, 76.016670)"
Chandpur,5321,Valid,L6,1100,Fell,01/01/1885 12:00:00 AM,27.283330,79.050000,"(27.283330, 79.050000)"
Changde,5322,Valid,H5,1810,Fell,01/01/1977 12:00:00 AM,29.083330,111.750000,"(29.083330, 111.750000)"
Chantonnay,5325,Valid,L6,31500,Fell,01/01/1812 12:00:00 AM,46.683330,1.050000,"(46.683330, 1.050000)"
Charlotte,5328,Valid,"Iron, IVA",4300,Fell,01/01/1835 12:00:00 AM,36.166670,-87.333330,"(36.166670, -87.333330)"
Charsonville,5329,Valid,H6,27000,Fell,01/01/1810 12:00:00 AM,47.933330,1.566670,"(47.933330, 1.566670)"
Charwallas,5330,Valid,H6,12000,Fell,01/01/1834 12:00:00 AM,29.483330,75.500000,"(29.483330, 75.500000)"
Chassigny,5331,Valid,Martian (chassignite),4000,Fell,01/01/1815 12:00:00 AM,47.716670,5.366670,"(47.716670, 5.366670)"
Château-Renard,5332,Valid,L6,30000,Fell,01/01/1841 12:00:00 AM,47.933330,2.916670,"(47.933330, 2.916670)"
Chaves,5334,Valid,Howardite,2945,Fell,01/01/1925 12:00:00 AM,41.933330,-7.466670,"(41.933330, -7.466670)"
Chela,5338,Valid,H4,2936,Fell,01/01/1988 12:00:00 AM,-3.666670,32.500000,"(-3.666670, 32.500000)"
Chelyabinsk,57165,Valid,LL5,100000,Fell,01/01/2013 12:00:00 AM,54.816670,61.116670,"(54.816670, 61.116670)"
Chergach ,47347,Valid,H5,100000,Fell,01/01/2007 12:00:00 AM,23.696390,-5.014720,"(23.696390, -5.014720)"
Chernyi Bor,5339,Valid,H4,6000,Fell,01/01/1964 12:00:00 AM,53.700000,30.100000,"(53.700000, 30.100000)"
Cherokee Springs,5340,Valid,LL6,8400,Fell,01/01/1933 12:00:00 AM,35.033330,-81.883330,"(35.033330, -81.883330)"
Chervettaz,5341,Valid,L5,705,Fell,01/01/1901 12:00:00 AM,46.550000,6.816670,"(46.550000, 6.816670)"
Chervony Kut,5342,Valid,Eucrite-mmict,1700,Fell,01/01/1939 12:00:00 AM,50.833330,34.000000,"(50.833330, 34.000000)"
